FirstName,Phone,Notes
John,1234567890,Follow-up required
Jane,9876543210,High-priority
Alice,5647382910,Interested in details
Bob,6789054321,Need clarification
Eve,4567891230,Awaiting response
Chris,3456789120,Send details
Diana,2345678910,High-value lead
Frank,7890123456,Pending approval
Grace,8901234567,Interested in meeting
Hank,9012345678,Requires demo
Ivy,1238904567,Follow-up needed
Jack,5678901234,Sent proposal
Kelly,6789012345,No response yet
Leo,7890123450,Positive feedback
Mona,8901234501,Awaiting document
Nancy,9012345012,Call scheduled
Oscar,2345607891,Needs discount
Pam,3456078912,Checking availability
Quinn,4560789123,Request clarification
Rick,5670891234,Meeting confirmed
Sophia,6780912345,Negotiating terms
Tom,7890123405,Send reminders
Uma,8901234056,Confirmed interest
Victor,9012340567,Pending confirmation
Wendy,1234056789,Needs quick response
Xander,2340567890,Referred by client
Yara,3450678901,Interested in bulk order
Zane,4560789012,Needs special attention
